t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,internet,queued_alerts,delivered_alerts,physical_p,physical_m,physical_u
13.7,0,0,0,0,0,0,0,0,0.21786702023068144,3.007959138991579,2.9935392026323298,0.0,0.0,0,1,1,0,0,0,0,0
13.8,0,0,0,0,0,0,0,0,0.2578079811758679,2.9949277527427176,2.9949277527427176,0.0,0.0,0,1,1,0,0,0,0,0
13.9,0,0,0,0,0,0,0,0,0.8642026081209181,3.042167243364954,2.996551799912724,0.0,0.0,0,1,1,0,0,0,0,0
14.0,0,0,0,0,0,0,0,0,0.5232334650728302,2.9901916149085337,2.9949277527427176,0.0,0.0,0,1,1,0,0,0,0,0
14.1,0,0,0,0,0,0,0,0,0.23878131483919252,2.973568125829018,2.9949277527427176,0.0,0.0,0,1,1,0,0,0,0,0
14.2,0,0,0,0,0,0,0,0,1.3532753067038132,2.978090602416474,2.9901916149085337,0.0,0.0,0,1,1,0,0,0,0,0
14.3,0,0,0,0,0,0,0,0,0.34245149207710573,3.026902483028621,2.9901916149085337,0.0,0.0,0,1,1,0,0,0,0,0
14.4,0,0,0,0,0,0,0,0,0.3481369353060774,2.98778034724588,2.98778034724588,0.0,0.0,0,1,1,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0.29099343784949233,2.999425368618234,2.98778034724588,0.0,0.0,0,1,1,0,0,0,0,0
14.6,0,0,0,0,0,0,0,0,0.49428317463476096,2.979531620302777,2.98778034724588,0.0,0.0,0,1,1,0,0,0,0,0
14.7,0,0,0,0,0,0,0,0,0.6565598370868722,2.986551973499248,2.98778034724588,0.0,0.0,0,1,1,0,0,0,0,0
14.8,0,0,0,0,0,0,0,0,0.2711437936675285,3.0236446336059504,2.98778034724588,0.0,0.0,0,1,1,0,0,0,0,0
14.9,0,0,0,0,0,0,0,0,0.8873711593651925,2.9787607247267447,2.986551973499248,0.0,0.0,0,1,1,0,0,0,0,0
15.0,0,0,0,0,0,0,0,0,0.37293883860572596,2.9785218350877103,2.979531620302777,0.0,0.0,0,1,1,0,0,0,0,0
15.1,0,0,0,0,0,0,0,0,0.8551760889217495,2.9730761770103507,2.9787607247267447,0.0,0.0,0,1,1,0,0,0,0,0
15.2,0,0,0,0,0,0,0,0,0.48728673524217736,3.0317611734351955,2.9787607247267447,0.0,0.0,0,1,1,0,0,0,0,0
15.3,0,0,0,0,0,0,0,0,0.683896411310923,3.0098165347621446,2.9787607247267447,0.0,0.0,0,1,1,0,0,0,0,0
15.4,0,0,0,0,0,0,0,0,0.7752965609651703,3.0261162652887097,3.0098165347621446,0.0,0.0,0,1,1,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0.6975928130919624,3.01718927921877,3.01718927921877,0.0,0.0,0,1,1,0,0,0,0,0
15.6,0,0,0,0,0,0,0,0,0.7413720121824556,2.990477063998554,3.01718927921877,0.0,0.0,0,1,1,0,0,0,0,0
15.7,0,0,0,0,0,0,0,0,0.5530655528316626,2.9963396117122416,3.0098165347621446,0.0,0.0,0,1,1,0,0,0,0,0
