t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,physical_p,physical_m,physical_u
2.3,0,0,0,0,0,0,0,0,0.5260999404963168,2.9969904968794294,2.9948766912630416,0.0,0.0,0,1,0,0,0
2.4,0,0,0,0,0,0,0,0,0.568807074609382,2.9731660337527135,2.9885160551108245,0.0,0.0,0,1,0,0,0
2.5,0,0,0,0,0,0,0,0,0.4437776767649664,2.995208228767895,2.9948766912630416,0.0,0.0,0,1,0,0,0
2.6,0,0,0,0,0,0,0,0,0.2699491195063943,2.9721547908718917,2.982630402165536,0.0,0.0,0,1,0,0,0
2.7,0,0,0,0,0,0,0,0,0.5484215099956052,2.988118261598656,2.988118261598656,0.0,0.0,0,1,0,0,0
2.8,0,0,0,0,0,0,0,0,0.2918044806017835,2.9954253885102413,2.988118261598656,0.0,0.0,0,1,0,0,0
2.9,0,0,0,0,0,0,0,0,0.25210873895264774,3.009750456441761,2.995208228767895,0.0,0.0,0,1,0,0,0
3.0,0,0,0,0,0,0,0,0,0.6773536284357506,3.0000535978243144,2.9954253885102413,0.0,0.0,0,1,0,0,0
3.1,0,0,0,0,0,0,0,0,0.4815151043827007,2.9945710120678397,2.9954253885102413,0.0,0.0,0,1,0,0,0
3.2,0,0,0,0,0,0,0,0,0.5585684231920063,3.0171015398697567,3.0000535978243144,0.0,0.0,0,1,0,0,0
3.3,0,0,0,0,0,0,0,0,0.5446341423357112,2.98309268161578,3.0000535978243144,0.0,0.0,0,1,0,0,0
3.4,0,0,0,0,0,0,0,0,0.23800989462781866,3.015265670087973,3.0000535978243144,0.0,0.0,0,1,0,0,0
3.5,0,0,0,0,0,0,0,0,0.8574911615696086,2.977455826216842,2.9945710120678397,0.0,0.0,0,1,0,0,0
3.6,0,0,0,0,0,0,0,0,0.5211366952084876,2.986918655831048,2.986918655831048,0.0,0.0,0,1,0,0,0
3.7,0,0,0,0,0,0,0,0,0.5817932571386395,3.0029471724488133,2.986918655831048,0.0,0.0,0,1,0,0,0
3.8,0,0,0,0,0,0,0,0,0.33740406152844715,3.0350476282110934,3.0029471724488133,0.0,0.0,0,1,0,0,0
3.9,0,0,0,0,0,0,0,0,0.3373212935573473,3.0044686234823113,3.0029471724488133,0.0,0.0,0,1,0,0,0
4.0,0,0,0,0,0,0,0,0,0.4261488374256972,2.9874401881632626,3.0029471724488133,0.0,0.0,0,1,0,0,0
4.1,0,0,0,0,0,0,0,0,0.5760625628766649,3.0092834443988012,3.0044686234823113,0.0,0.0,0,1,0,0,0
