t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,physical_p,physical_m,physical_u
2.6,0,0,0,0,0,1,1,0,3.7369127487643055,2.9721547908718917,2.982630402165536,0.0,0.0,0,1,0,0,0
2.7,0,0,0,0,0,1,1,0,4.3853721423686665,2.988118261598656,2.988118261598656,0.0,0.0,0,1,0,0,0
2.8,0,0,0,0,0,1,1,0,4.740623216587483,2.9954253885102413,2.988118261598656,0.0,0.0,0,1,0,0,0
2.9,0,0,0,0,0,1,1,0,4.187012087310759,3.009750456441761,2.995208228767895,0.0,0.0,0,1,0,0,0
3.0,0,0,0,0,0,1,1,0,3.934330461407304,3.0000535978243144,2.9954253885102413,0.0,0.0,0,1,0,0,0
3.1,0,0,0,0,0,1,1,0,4.346027846827323,2.9945710120678397,2.9954253885102413,0.0,0.0,0,1,0,0,0
3.2,0,0,0,0,0,1,1,0,4.20514609680595,3.0171015398697567,3.0000535978243144,0.0,0.0,0,1,0,0,0
3.3,0,0,0,0,0,1,1,0,4.326747708920142,2.98309268161578,3.0000535978243144,0.0,0.0,0,1,0,0,0
3.4,0,0,0,0,0,1,1,0,3.9357199976412467,3.015265670087973,3.0000535978243144,0.0,0.0,0,1,0,0,0
3.5,0,0,0,0,0,1,1,0,4.101436364640824,2.977455826216842,2.9945710120678397,0.0,0.0,0,1,0,0,0
3.6,0,0,0,0,0,1,1,0,4.2205005114872955,2.986918655831048,2.986918655831048,0.0,0.0,0,1,0,0,0
3.7,0,0,0,0,0,1,1,0,4.255225449177118,3.0029471724488133,2.986918655831048,0.0,0.0,0,1,0,0,0
3.8,0,0,0,0,0,1,1,0,3.8204799779463032,3.0350476282110934,3.0029471724488133,0.0,0.0,0,1,0,0,0
3.9,0,0,0,0,0,1,1,0,4.10835522290743,3.0044686234823113,3.0029471724488133,0.0,0.0,0,1,0,0,0
4.0,0,0,0,0,0,1,1,0,4.158897317711608,2.9874401881632626,3.0029471724488133,0.0,0.0,0,1,0,0,0
4.1,0,0,0,0,0,1,1,0,4.048388001456447,3.0092834443988012,3.0044686234823113,0.0,0.0,0,1,0,0,0
4.2,0,0,0,0,0,1,1,0,4.039054695418382,3.018183671722043,3.0092834443988012,0.0,0.0,0,1,0,0,0
4.3,0,0,0,0,0,1,1,0,4.125259384296599,2.983957492674628,3.0044686234823113,0.0,0.0,0,1,0,0,0
4.4,0,0,0,0,0,1,1,0,4.315793272342469,3.0148391787673168,3.0092834443988012,0.0,0.0,0,1,0,0,0
4.5,0,0,0,0,0,1,1,0,3.9461855337742997,2.9497663894901742,3.0092834443988012,0.0,0.0,0,1,0,0,0
4.6,0,0,0,0,0,1,1,0,3.9952842768957333,2.9834526365501626,2.983957492674628,0.0,0.0,0,1,0,0,0
4.7,0,0,0,0,0,1,1,0,4.4650734502280205,2.993032991758009,2.983957492674628,0.0,0.0,0,1,0,0,0
4.8,0,0,0,0,0,1,1,0,4.145360939682156,3.0077259741244116,2.993032991758009,0.0,0.0,0,1,0,0,0
4.9,0,0,0,0,0,1,1,0,4.12163871893719,3.025708657343512,2.993032991758009,0.0,0.0,0,1,0,0,0
5.0,0,0,0,0,0,1,1,0,4.200660974121587,3.0264180815811943,3.0077259741244116,0.0,0.0,0,1,0,0,0
5.1,0,0,0,0,0,1,1,0,3.9513223591667006,2.987502482243777,3.0077259741244116,0.0,0.0,0,1,0,0,0
5.2,0,0,0,0,0,1,1,0,3.843289180796718,2.9762846376853935,3.0077259741244116,0.0,0.0,0,1,0,0,0
5.3,0,0,0,0,0,1,1,0,4.122371783961428,2.9427133842067326,2.987502482243777,0.0,0.0,0,1,0,0,0
5.4,0,0,0,0,0,1,1,0,3.8211542681534354,3.0183462908296725,2.987502482243777,0.0,0.0,0,1,0,0,0
5.5,0,0,0,0,0,1,1,0,3.8645370627077096,3.0300182344518833,2.987502482243777,0.0,0.0,0,1,0,0,0
5.6,0,0,0,0,0,1,1,0,3.955718396628071,2.9584444004285952,2.9762846376853935,0.0,0.0,0,1,0,0,0
5.7,0,0,0,0,0,1,1,0,3.8999731608182793,2.965157149127101,2.965157149127101,0.0,0.0,0,1,0,0,0
5.8,0,0,0,0,0,1,1,0,4.134588687306914,2.9838699509428968,2.9838699509428968,0.0,0.0,0,1,0,0,0
5.9,0,0,0,0,0,1,1,0,4.173818466878448,2.9989103931695786,2.9838699509428968,0.0,0.0,0,1,0,0,0
6.0,0,0,0,0,0,1,1,0,4.040719563329664,3.027187666124831,2.9838699509428968,0.0,0.0,0,1,0,0,0
6.1,0,0,0,0,0,1,1,0,3.977604553004666,3.0060536459848968,2.9989103931695786,0.0,0.0,0,1,0,0,0
6.2,0,0,0,0,0,1,1,0,4.52232075583602,2.9767975214199147,2.9989103931695786,0.0,0.0,0,1,0,0,0
6.3,0,0,0,0,0,1,1,0,3.9921872714038265,3.012675619207614,3.0060536459848968,0.0,0.0,0,1,0,0,0
6.4,0,0,0,0,0,1,1,0,4.094262958876432,3.0274659701237545,3.012675619207614,0.0,0.0,0,1,0,0,0
6.5,0,0,0,0,0,1,1,0,3.963728379861878,3.003395945901959,3.0060536459848968,0.0,0.0,0,1,0,0,0
6.6,0,0,0,0,0,1,1,0,3.9377040810683304,2.9850733292501057,3.003395945901959,0.0,0.0,0,1,0,0,0
6.7,0,0,0,0,0,1,1,0,3.90196861379675,2.9761174895103184,3.003395945901959,0.0,0.0,0,1,0,0,0
6.8,0,0,0,0,0,1,1,0,3.938114041339396,2.984021697062378,2.9850733292501057,0.0,0.0,0,1,0,0,0
6.9,0,0,0,0,0,1,1,0,4.380817158654239,2.9737351629364834,2.984021697062378,0.0,0.0,0,1,0,0,0
7.0,0,0,0,0,0,1,1,0,4.577901422594372,2.995424233110415,2.984021697062378,0.0,0.0,0,1,0,0,0
7.1,0,0,0,0,0,1,1,0,3.8062041597314162,2.996321785274254,2.984021697062378,0.0,0.0,0,1,0,0,0
7.2,0,0,0,0,0,1,1,0,4.148504996909014,2.993387756417457,2.993387756417457,0.0,0.0,0,1,0,0,0
7.3,0,0,0,0,0,1,1,0,4.189419078391623,2.975767106973828,2.993387756417457,0.0,0.0,0,1,0,0,0
7.4,0,0,0,0,0,1,1,0,4.237573208886603,2.9918135992768877,2.993387756417457,0.0,0.0,0,1,0,0,0
7.5,0,0,0,0,0,1,1,0,4.258636958279693,3.0095693697400088,2.993387756417457,0.0,0.0,0,1,0,0,0
7.6,0,0,0,0,0,1,1,0,4.042452319043403,3.0002964544892974,2.993387756417457,0.0,0.0,0,1,0,0,0
7.7,0,0,0,0,0,1,1,0,4.008760659653943,3.025638137607197,3.0002964544892974,0.0,0.0,0,1,0,0,0
7.8,0,0,0,0,0,1,1,0,4.468923186052022,2.9851982103049903,3.0002964544892974,0.0,0.0,0,1,0,0,0
7.9,0,0,0,0,0,1,1,0,4.33944968349547,3.0267984290506136,3.0095693697400088,0.0,0.0,0,1,0,0,0
8.0,0,0,0,0,0,1,1,0,3.804431573757322,2.980585239969269,3.0002964544892974,0.0,0.0,0,1,0,0,0
8.1,0,0,0,0,0,1,1,0,4.339249974256732,3.0067344987743128,3.0067344987743128,0.0,0.0,0,1,0,0,0
8.2,0,0,0,0,0,1,1,0,3.9170708221683923,2.9753111425601717,2.9851982103049903,0.0,0.0,0,1,0,0,0
8.3,0,0,0,0,0,1,1,0,3.9585157927549215,2.9935408699067874,2.9935408699067874,0.0,0.0,0,1,0,0,0
8.4,0,0,0,0,0,1,1,0,3.971033972945445,3.009249500233351,2.9935408699067874,0.0,0.0,0,1,0,0,0
8.5,0,0,0,0,0,1,1,0,3.8071366458527423,3.0020842406158135,3.0020842406158135,0.0,0.0,0,1,0,0,0
8.6,0,0,0,0,0,1,1,0,4.092091266328806,2.9773678033384945,2.9935408699067874,0.0,0.0,0,1,0,0,0
8.7,0,0,0,0,0,1,1,0,3.75010894254797,3.0105286840125767,3.0020842406158135,0.0,0.0,0,1,0,0,0
8.8,0,0,0,0,0,1,1,0,3.743392575970459,3.002898673482223,3.002898673482223,0.0,0.0,0,1,0,0,0
8.9,0,0,0,0,0,1,1,0,3.8141418020625406,3.0088244043546064,3.002898673482223,0.0,0.0,0,1,0,0,0
9.0,0,0,0,0,0,1,1,0,4.078812810564919,2.9506038208514003,3.002898673482223,0.0,0.0,0,1,0,0,0
9.1,0,0,0,0,0,1,1,0,3.9454749678969536,2.9871651948552076,3.002898673482223,0.0,0.0,0,1,0,0,0
9.2,0,0,0,0,0,1,1,0,4.092888039125701,3.02775718615467,3.002898673482223,0.0,0.0,0,1,0,0,0
9.3,0,0,0,0,0,1,1,0,3.670943632195363,3.0231877798503595,3.0088244043546064,0.0,0.0,0,1,0,0,0
9.4,0,0,0,0,0,1,1,0,4.250984164053575,2.9826921588447597,2.9871651948552076,0.0,0.0,0,1,0,0,0
9.5,0,0,0,0,0,1,1,0,3.8235071664131843,3.0118751509465747,3.0118751509465747,0.0,0.0,0,1,0,0,0
9.6,0,0,0,0,0,1,1,0,3.86614557271143,2.994129616541903,3.0118751509465747,0.0,0.0,0,1,0,0,0
9.7,0,0,0,0,0,1,1,0,4.367207758831107,3.032682944470968,3.0118751509465747,0.0,0.0,0,1,0,0,0
9.8,0,0,0,0,0,1,1,0,3.856693166147571,2.998865299492228,2.998865299492228,0.0,0.0,0,1,0,0,0
9.9,0,0,0,0,0,1,1,0,4.221243178511884,2.986655442421185,2.998865299492228,0.0,0.0,0,1,0,0,0
10.0,0,0,0,0,0,1,1,0,4.554735408027988,2.9744373932854287,2.994129616541903,0.0,0.0,0,1,0,0,0
10.1,0,0,0,0,0,1,1,0,4.554543533688215,3.016330756228895,2.998865299492228,0.0,0.0,0,1,0,0,0
10.2,0,0,0,0,0,1,1,0,4.120988730683746,3.0184265885046995,2.998865299492228,0.0,0.0,0,1,0,0,0
10.3,0,0,0,0,0,1,1,0,3.97167946876041,2.983341418386034,2.986655442421185,0.0,0.0,0,1,0,0,0
10.4,0,0,0,0,0,1,1,0,3.980358851617703,3.0064153297555825,3.0064153297555825,0.0,0.0,0,1,0,0,0
10.5,0,0,0,0,0,1,1,0,4.084281772194547,2.995438672972042,3.0064153297555825,0.0,0.0,0,1,0,0,0
10.6,0,0,0,0,0,1,1,0,3.8882573444411483,2.9638400849545334,2.995438672972042,0.0,0.0,0,1,0,0,0
10.7,0,0,0,0,0,1,1,0,3.9468177322624722,2.9949851501693874,2.9949851501693874,0.0,0.0,0,1,0,0,0
10.8,0,0,0,0,0,1,1,0,3.7798763103277118,2.9811234856594515,2.9949851501693874,0.0,0.0,0,1,0,0,0
10.9,0,0,0,0,0,1,1,0,3.922634857591829,3.0176218498702427,2.9949851501693874,0.0,0.0,0,1,0,0,0
11.0,0,0,0,0,0,1,1,0,4.329756772683923,3.021974014260361,2.9949851501693874,0.0,0.0,0,1,0,0,0
11.1,0,0,0,0,0,1,1,0,4.159353741999933,3.014649650885998,3.014649650885998,0.0,0.0,0,1,0,0,0
11.2,0,0,0,0,0,1,1,0,3.930693103226685,3.0279763115446823,3.0176218498702427,0.0,0.0,0,1,0,0,0
11.3,0,0,0,0,0,1,1,0,4.245018734428749,3.0206180150110162,3.0206180150110162,0.0,0.0,0,1,0,0,0
11.4,0,0,0,0,0,1,1,0,4.615670323077635,3.0424072980873307,3.021974014260361,0.0,0.0,0,1,0,0,0
11.5,0,0,0,0,0,1,1,0,4.101895831001648,2.9737472955259476,3.0206180150110162,0.0,0.0,0,1,0,0,0
11.6,0,0,0,0,0,1,1,0,3.8511978987695743,3.018371256639401,3.0206180150110162,0.0,0.0,0,1,0,0,0
11.7,0,0,0,0,0,1,1,0,3.7800798571017244,3.037506399761012,3.0206180150110162,0.0,0.0,0,1,0,0,0
11.8,0,0,0,0,0,1,1,0,3.994464239242797,2.995405762367229,3.018371256639401,0.0,0.0,0,1,0,0,0
